timestamp,pitch_hz,confidence,voiced
0.0080,1972.02,0.1290,false
0.0240,1972.86,0.1589,false
0.0400,1973.20,0.1997,false
0.0560,1971.80,0.1996,false
0.0720,1972.48,0.2001,false
0.0880,1967.74,0.1896,false
0.1040,1945.99,0.1949,false
0.1200,101.97,0.2152,false
0.1360,1933.82,0.2088,false
0.1520,103.64,0.2983,false
0.1680,106.90,0.4010,false
0.1840,109.65,0.5510,false
0.2000,109.41,0.5943,false
0.2160,115.17,0.4211,false
0.2320,119.50,0.3557,false
0.2480,120.67,0.3031,false
0.2640,1942.03,0.1489,false
0.2800,1947.30,0.1762,false
0.2960,1954.33,0.2006,false
0.3120,1956.10,0.2256,false
0.3280,104.13,0.2529,false
0.3440,102.92,0.3331,false
0.3600,102.60,0.4038,false
0.3760,102.85,0.4469,false
0.3920,103.17,0.4106,false
0.4080,102.35,0.4086,false
0.4240,101.55,0.5104,false
0.4400,101.73,0.4235,false
0.4560,490.60,0.3625,false
0.4720,490.50,0.5021,false
0.4880,490.26,0.3449,false
0.5040,105.58,0.3693,false
0.5200,328.10,0.2299,false
0.5360,107.62,0.2330,false
0.5520,236.43,0.2437,false
0.5680,242.19,0.3913,false
0.5840,243.18,0.4235,false
0.6000,125.46,0.5303,false
0.6160,124.73,0.3762,false
0.6320,1128.27,0.1914,false
0.6480,1120.68,0.2861,false
0.6640,1120.81,0.3130,false
0.6800,1119.89,0.2990,false
0.6960,1118.90,0.2842,false
0.7120,103.28,0.3572,false
0.7280,102.11,0.4493,false
0.7440,102.18,0.4391,false
0.7600,102.08,0.4637,false
0.7760,101.71,0.5374,false
0.7920,102.02,0.5528,false
0.8080,102.92,0.5484,false
0.8240,104.04,0.5225,false
0.8400,104.05,0.5067,false
0.8560,103.65,0.5151,false
0.8720,103.60,0.5483,false
0.8880,103.12,0.5904,false
0.9040,102.26,0.6698,false
0.9200,101.63,0.7285,false
0.9360,101.31,0.7129,false
0.9520,101.19,0.6706,false
0.9680,101.19,0.6529,false
0.9840,101.04,0.6355,false
1.0000,100.86,0.6165,false
1.0160,100.99,0.5773,false
1.0320,101.13,0.5714,false
1.0480,101.01,0.6235,false
1.0640,100.96,0.6302,false
1.0800,100.99,0.5970,false
1.0960,101.12,0.6244,false
1.1120,101.15,0.6631,false
1.1280,101.22,0.6471,false
1.1440,101.30,0.6326,false
1.1600,101.32,0.6113,false
1.1760,101.75,0.5394,false
1.1920,102.68,0.4559,false
1.2080,103.03,0.4214,false
1.2240,103.66,0.3667,false
1.2400,103.58,0.3796,false
1.2560,103.68,0.3893,false
1.2720,103.96,0.3690,false
1.2880,103.59,0.3792,false
1.3040,103.44,0.3774,false
1.3200,102.68,0.3769,false
1.3360,102.26,0.4019,false
1.3520,101.17,0.4333,false
1.3680,100.73,0.4042,false
1.3840,100.57,0.3577,false
1.4000,101.39,0.3385,false
1.4160,101.89,0.3182,false
1.4320,101.81,0.3083,false
1.4480,101.86,0.3490,false
1.4640,101.25,0.3915,false
1.4800,184.46,0.3495,false
1.4960,184.32,0.3003,false
1.5120,134.17,0.1997,false
1.5280,133.50,0.2520,false
1.5440,132.70,0.2801,false
1.5600,131.65,0.2867,false
1.5760,103.01,0.2326,false
1.5920,102.83,0.2416,false
1.6080,878.90,0.2093,false
1.6240,102.23,0.1794,false
